,cluster
si_Exp,0
donnez_Exp,0
avis_Exp_favorable_Exp,0
madame_Exp_secrétaire_Exp,0
état_Exp,0
quelque_Exp_peu_Exp,-1
nuage_Exp,-1
cet_Exp,0
établissement_Exp,-1
plus_Exp_généralement_Exp,0
soutiendrai_Exp,-1
autre_Exp,0
amendement_Exp_visant_Exp,0
demander_Exp,0
gouvernement_Exp,0
présenter_Exp,0
rapport_Exp_détaillé_Exp,-1
comparant_Exp,-1
évolution_Exp,0
missions_Exp,0
affectées_Exp,-1
différents_Exp_opérateurs_Exp,-1
trajectoire_Exp,-1
leurs_Exp,0
effectifs_Exp,0
effet_Exp,0
convient_Exp_rappeler_Exp,-1
cours_Exp_dernières_Exp,0
années_Exp,0
ministère_Exp_transition_Exp,-1
écologique_Exp_solidaire_Exp,1
a_Exp,0
largement_Exp_contribué_Exp,-1
réduction_Exp_effectifs_Exp,-1
alors_Exp,0
appelées_Exp,-1
monter_Exp_puissance_Exp,-1
moins_Exp,0
certains_Exp_domaines_Exp,-1
comme_Exp,0
celui_Exp,0
adaptation_Exp_changement_Exp,-1
climatique_Exp,-1
biodiversité_Exp,-1
question_Exp_adresse_Exp,2
françois_Exp_rugy_Exp,-1
ministre_Exp,0
ministre_Exp_transition_Exp,1
cette_Exp,0
autorisation_Exp,-1
strictement_Exp_encadrée_Exp,-1
décret_Exp_application_Exp,3
créer_Exp,0
chaîne_Exp_information_Exp,-1
complète_Exp,-1
susceptible_Exp,0
assurer_Exp_protection_Exp,-1
patients_Exp,0
personnel_Exp_soignant_Exp,-1
également_Exp,0
préoccupé_Exp,-1
situation_Exp,0
office_Exp_national_Exp,-1
forêts_Exp,-1
exerce_Exp,-1
plusieurs_Exp,0
faveur_Exp_biodiversité_Exp,-1
bien_Exp,0
rattaché_Exp,-1
mission_Exp,0
agriculture_Exp_alimentation_Exp,-1
dette_Exp_atteint_Exp,-1
désormais_Exp,0
millions_Exp_euros_Exp,0
donc_Exp,0
crucial_Exp,-1
repenser_Exp,-1
mode_Exp_financement_Exp,-1
ainsi_Exp,0
collègue_Exp_sénatrice_Exp,-1
anne_Exp,-1
catherine_Exp,-1
récemment_Exp,0
attelée_Exp,-1
rapport_Exp,0
agissant_Exp,0
cerema_Exp,-1
force_Exp_constater_Exp,-1
opérateur_Exp,-1
rencontre_Exp_actuellement_Exp,-1
difficultés_Exp,0
fait_Exp,0
diminution_Exp_dotations_Exp,-1
budgétaires_Exp,-1
imposée_Exp,-1
pouvez_Exp,0
exposer_Exp,-1
nouvelles_Exp_perspectives_Exp,-1
évoquées_Exp,-1
rappeler_Exp,0
place_Exp,0
prise_Exp,0
pays_Exp,0
cours_Exp,0
conférence_Exp,-1
espérons_Exp,0
salutaire_Exp,-1
planète_Exp,-1
initiative_Exp,-1
associera_Exp,-1
citoyens_Exp,0
élaboration_Exp_politiques_Exp,-1
climatiques_Exp,-1
permettra_Exp,0
assurer_Exp,0
acceptabilité_Exp,-1
mesures_Exp,0
concitoyens_Exp,0
agisse_Exp,0
fiscalité_Exp_carbone_Exp,-1
éoliennes_Exp,-1
près_Exp_chez_Exp,-1
réponse_Exp,0
non_Exp,0
proposition_Exp_loi_Exp,0
examinons_Exp,4
inutile_Exp,-1
monsieur_Exp_ministre_Exp,0
premier_Exp_ministre_Exp,0
a_Exp_rappelé_Exp,0
déclaration_Exp,-1
politique_Exp_générale_Exp,-1
mise_Exp_place_Exp,0
prochaine_Exp,-1
convention_Exp_citoyenne_Exp,-1
composée_Exp,5
représentatifs_Exp,-1
diversité_Exp,-1
société_Exp_française_Exp,-1
vue_Exp,0
proposer_Exp,0
nouvelles_Exp_mesures_Exp,0
permettant_Exp_atteindre_Exp,-1
objectifs_Exp,0
matière_Exp,0
climat_Exp,-1
bien_Exp_évidemment_Exp,0
tous_Exp,0
favorables_Exp,0
accès_Exp,0
ressource_Exp_eau_Exp,-1
idée_Exp_généreuse_Exp,-1
nul_Exp_peut_Exp,-1
contester_Exp,-1
toutefois_Exp,0
proposition_Exp,0
dont_Exp_débattons_Exp,4
va_Exp,0
beaucoup_Exp,0
plus_Exp_loin_Exp,-1
comporte_Exp,6
innovation_Exp,-1
constitutionnelle_Exp,-1
majeure_Exp,-1
aucun_Exp,0
article_Exp_constitution_Exp,0
prévoit_Exp,0
comment_Exp,0
doit_Exp_être_Exp,0
géré_Exp,-1
service_Exp_public_Exp,0
car_Exp,0
question_Exp,0
relève_Exp,0
loi_Exp,0
sens_Exp,0
article_Exp,0
ladite_Exp,-1
constitution_Exp,0
présent_Exp_amendement_Exp,0
vise_Exp,0
permettre_Exp,0
structures_Exp_médico_Exp,-1
sociales_Exp,7
travaillant_Exp,8
personnes_Exp_vulnérables_Exp,-1
telles_Exp,0
ehpad_Exp,0
saad_Exp,-1
services_Exp,0
aide_Exp,0
accompagnement_Exp_domicile_Exp,-1
ssiad_Exp,-1
soins_Exp_infirmiers_Exp,-1
domicile_Exp,-1
établissements_Exp,0
accueillant_Exp_personnes_Exp,-1
handicapées_Exp,-1
avoir_Exp_accès_Exp,0
certaines_Exp,0
informations_Exp,9
permettront_Exp,0
déterminer_Exp,0
exemple_Exp,0
port_Exp,-1
équipement_Exp,-1
protection_Exp_individuelle_Exp,-1
nécessaire_Exp,0
lors_Exp,0
intervention_Exp,-1
projet_Exp_loi_Exp,0
finances_Exp,0
subvention_Exp_charges_Exp,10
nouveau_Exp,0
réduite_Exp,-1
passant_Exp_millions_Exp,-1
euros_Exp,0
subvention_Exp,0
déjà_Exp,0
baissé_Exp,0
entre_Exp,0
conduit_Exp,0
diminution_Exp,0
budget_Exp,0
investissement_Exp,0
représente_Exp,0
plus_Exp,0
budget_Exp_total_Exp,-1
environ_Exp_millions_Exp,0
ressources_Exp_propres_Exp,-1
incluses_Exp,-1
or_Exp,0
afin_Exp,0
développer_Exp,0
besoin_Exp,0
effectif_Exp,-1
suffisant_Exp,11
répondre_Exp_appels_Exp,-1
offre_Exp,-1
nombreux_Exp,0
équipements_Exp,0
fin_Exp_vie_Exp,-1
reposent_Exp,-1
technologies_Exp,-1
parfois_Exp,0
obsolètes_Exp,-1
stéphane_Exp_travert_Exp,-1
ministre_Exp_agriculture_Exp,-1
alimentation_Exp,0
aimé_Exp,-1
associer_Exp,12
collègue_Exp_julien_Exp,13
aubert_Exp,-1
absent_Exp,-1
jour_Exp,0
trop_Exp,0
occupé_Exp,-1
futures_Exp_échéances_Exp,-1
électorales_Exp,-1
soucier_Exp,-1
problème_Exp,0
deux_Exp_ans_Exp,0
souci_Exp,0
santé_Exp_publique_Exp,0
france_Exp,0
interdisait_Exp,-1
utilisation_Exp,14
diméthoate_Exp,-1
producteurs_Exp,0
cerises_Exp,-1
laissant_Exp,0
quatre_Exp,0
produits_Exp,15
chers_Exp,-1
surtout_Exp,0
efficaces_Exp,-1
contrepartie_Exp,-1
cette_Exp_décision_Exp,0
assortie_Exp,-1
clause_Exp_sauvegarde_Exp,-1
vis_Exp_vis_Exp,16
utilisant_Exp,-1
tandis_Exp,0
cop_Exp,-1
vient_Exp_achever_Exp,-1
heure_Exp,-1
bilan_Exp,-1
procéder_Exp,0
tour_Exp_horizon_Exp,-1
avancées_Exp_réalisées_Exp,-1
occasion_Exp,0
réalité_Exp,0
paradoxale_Exp,-1
mesure_Exp_où_Exp,0
certains_Exp,0
opérateurs_Exp,0
concernés_Exp,-1
connaissent_Exp,-1
extension_Exp,-1
leurs_Exp_missions_Exp,0
pourquoi_Exp,0
adopté_Exp_commission_Exp,0
développement_Exp_durable_Exp,-1
aménagement_Exp_territoire_Exp,-1
amendement_Exp,0
destiné_Exp,0
relever_Exp_plafond_Exp,-1
emplois_Exp,0
agences_Exp_eau_Exp,-1
etp_Exp,0
parcs_Exp_nationaux_Exp,-1
suivra_Exp,-1
volonté_Exp,0
renforcer_Exp,0
acteurs_Exp_essentiels_Exp,-1
politique_Exp,0
acteurs_Exp,0
connu_Exp,0
restructurations_Exp,-1
importantes_Exp,0
précise_Exp,0
seulement_Exp,0
inscrire_Exp,0
cette_Exp_période_Exp,-1
pêche_Exp_loisir_Exp,-1
marbre_Exp_loi_Exp,-1
facilitera_Exp,-1
travail_Exp,0
préfets_Exp,0
occupés_Exp,-1
épargnant_Exp,-1
avoir_Exp,0
poser_Exp_question_Exp,-1
activités_Exp,0
autorisées_Exp,-1
reste_Exp,0
crédits_Exp_programme_Exp,-1
stable_Exp,-1
revanche_Exp,0
intervenant_Exp,-1
champ_Exp,17
politiques_Exp,0
baisse_Exp,0
cas_Exp,0
particulier_Exp,0
perdent_Exp,-1
trois_Exp,0
quarante_Exp,0
ofb_Exp,-1
devrait_Exp,0
perdre_Exp,18
soixante_Exp_sept_Exp,-1
postes_Exp,0
ici_Exp,0
perd_Exp,-1
plf_Exp,0
total_Exp,-1
schéma_Exp_emplois_Exp,-1
traduit_Exp,0
diminution_Exp_etp_Exp,-1
après_Exp,0
lieux_Exp_culte_Exp,-1
seule_Exp_chose_Exp,-1
interdite_Exp,-1
rassemblements_Exp,-1
peux_Exp_dire_Exp,-1
devant_Exp,0
tous_Exp_égaux_Exp,-1
commune_Exp,0
pendant_Exp_période_Exp,-1
pâques_Exp,-1
curé_Exp,-1
appelait_Exp,-1
fidèles_Exp,-1
contourner_Exp,-1
confinement_Exp,19
aller_Exp,0
maison_Exp,-1
cela_Exp,0
a_Exp_rapporté_Exp,-1
diocèse_Exp,-1
pris_Exp_considération_Exp,-1
crois_Exp,0
situations_Exp,0
très_Exp,0
variables_Exp,-1
suivant_Exp,-1
départements_Exp,0
tout_Exp_respectant_Exp,-1
cultes_Exp,-1
toutes_Exp_religions_Exp,-1
pense_Exp,0
faut_Exp,0
cadre_Exp,0
général_Exp,0
fixé_Exp,0
adhère_Exp_totalement_Exp,-1
crains_Exp,-1
point_Exp,0
dogmatisme_Exp,-1
citerai_Exp,-1
démontrer_Exp,-1
seul_Exp,0
cadre_Exp_mission_Exp,-1
information_Exp,9
parlementaire_Exp,0
préside_Exp,-1
dont_Exp,0
co_Exp,-1
rapporteur_Exp,0
rendrai_Exp,-1
irlande_Exp,-1
où_Exp,0
population_Exp,0
jouit_Exp,-1
gratuité_Exp,-1
eau_Exp,20
réseau_Exp,0
grande_Exp_partie_Exp,0
entreprise_Exp_privée_Exp,-1
filiale_Exp,-1
grand_Exp,0
groupe_Exp,0
français_Exp,0
droit_Exp,0
parfaitement_Exp,0
assuré_Exp,-1
conscients_Exp,-1
effets_Exp_néfastes_Exp,-1
santé_Exp,0
consenti_Exp,-1
modifier_Exp,0
leurs_Exp_habitudes_Exp,-1
malgré_Exp,0
importante_Exp,0
perte_Exp,-1
productivité_Exp,-1
massifs_Exp,-1
résulté_Exp,-1
mai_Exp_dernier_Exp,0
autorisant_Exp,-1
importations_Exp,-1
territoire_Exp_national_Exp,0
produit_Exp,15
remplissant_Exp_conditions_Exp,-1
très_Exp_bien_Exp,0
revenir_Exp,0
mise_Exp,0
principe_Exp,0
accès_Exp_eau_Exp,-1
assurée_Exp,-1
textes_Exp,0
convient_Exp,0
sans_Exp_doute_Exp,0
améliorer_Exp,0
fera_Exp,0
propositions_Exp,0
relèvent_Exp,0
aucunement_Exp,-1
niveau_Exp,0
constitutionnel_Exp,-1
déposé_Exp,0
mme_Exp_véronique_Exp,-1
hammerer_Exp,-1
crise_Exp_covid_Exp,19
lien_Exp,-1
créé_Exp,0
structures_Exp,0
sanitaires_Exp,-1
établissements_Exp_médico_Exp,-1
sociaux_Exp,-1
assure_Exp,-1
chaîne_Exp,-1
soin_Exp,-1
personnes_Exp_atteintes_Exp,-1
virus_Exp,19
cependant_Exp,0
nombreux_Exp_témoignages_Exp,-1
provenant_Exp,-1
aides_Exp,0
domiciles_Exp,-1
illustrent_Exp,-1
difficulté_Exp,0
pose_Exp,21
intervenir_Exp_auprès_Exp,-1
personne_Exp,0
revenant_Exp,-1
hospitalisation_Exp,-1
sans_Exp,0
savoir_Exp_si_Exp,0
celle_Exp_ci_Exp,0
covid_Exp,19
bien_Exp_sûr_Exp,0
rapporteur_Exp_avis_Exp,0
commission_Exp_développement_Exp,-1
durable_Exp_aménagement_Exp,-1
territoire_Exp,0
programme_Exp,0
socle_Exp,-1
bénéficie_Exp,0
crédits_Exp_paiement_Exp,0
autorisations_Exp_engagement_Exp,0
loi_Exp_finances_Exp,0
initiales_Exp,-1
cela_Exp_représente_Exp,0
augmentation_Exp,0
signe_Exp_positif_Exp,-1
inflexion_Exp,-1
budgétaire_Exp,0
globale_Exp,-1
près_Exp,0
due_Exp,22
création_Exp,0
arrêté_Exp,3
provenance_Exp,-1
turquie_Exp,-1
monsieur_Exp_président_Exp,0
maintiens_Exp,-1
brulebois_Exp,23
rapporteure_Exp_avis_Exp,0
chargée_Exp_examiner_Exp,-1
programme_Exp_prévention_Exp,-1
risques_Exp,0
pensons_Exp_nécessaire_Exp,-1
absorber_Exp,-1
avant_Exp,0
aller_Exp_plus_Exp,-1
loin_Exp,24
déposé_Exp_amendement_Exp,0
visant_Exp_limiter_Exp,-1
subvention_Exp_versée_Exp,-1
million_Exp_euros_Exp,0
peu_Exp_près_Exp,-1
économies_Exp_permises_Exp,-1
réductions_Exp,-1
personnel_Exp,0
aujourd_Exp_hui_Exp,0
rien_Exp,0
interdit_Exp,-1
collectivité_Exp_locale_Exp,-1
offrir_Exp,0
