,cluster
secrétaire_Novice_état_Novice,0
auprès_Novice_ministre_Novice,0
solidarités_Novice_santé_Novice,0
madame_Novice_députée_Novice,-1
remercie_Novice_question_Novice,-1
donne_Novice_occasion_Novice,-1
souligner_Novice,0
constitue_Novice,0
télémédecine_Novice,-1
organisation_Novice_système_Novice,-1
santé_Novice,0
effet_Novice,0
toute_Novice,0
initiative_Novice,-1
formation_Novice_professionnels_Novice,-1
santé_Novice_recherche_Novice,1
doit_Novice_être_Novice,0
favorisée_Novice,-1
afin_Novice_permettre_Novice,-1
organisations_Novice,-1
innovantes_Novice,-1
dont_Novice,0
celle_Novice,0
bordeaux_Novice,-1
mentionnée_Novice,-1
mettre_Novice_place_Novice,-1
france_Novice,0
devenir_Novice,-1
leader_Novice,-1
domaine_Novice,0
faisons_Novice,0
faites_Novice,0
madame_Novice_rapporteure_Novice,-1
grâce_Novice,0
nouvelle_Novice_rédaction_Novice,-1
précisons_Novice,-1
contenu_Novice,-1
accompagnement_Novice,0
contrat_Novice_accès_Novice,-1
autonomie_Novice,-1
manques_Novice,-1
voire_Novice,0
faiblesses_Novice,-1
loi_Novice,0
inspire_Novice,-1
ailleurs_Novice,0
immense_Novice,-1
laurence_Novice,-1
raison_Novice,0
travail_Novice,0
texte_Novice,0
nécessaire_Novice,0
trop_Novice_imprécise_Novice,-1
plusieurs_Novice,0
domaines_Novice,-1
sorte_Novice,-1
faits_Novice,-1
terrain_Novice,0
appliquée_Novice,-1
voilà_Novice_pourquoi_Novice,-1
amendement_Novice_mme_Novice,-1
rapporteure_Novice,0
tend_Novice_préciser_Novice,-1
teneur_Novice,-1
dont_Novice_bénéficieront_Novice,-1
jeunes_Novice,0
vulnérables_Novice,-1
majorité_Novice,0
voilà_Novice,0
premier_Novice_point_Novice,-1
vise_Novice,0
ajuster_Novice,-1
dispositif_Novice_prévu_Novice,-1
article_Novice_ter_Novice,-1
a_Novice_objet_Novice,0
créer_Novice,-1
second_Novice,-1
entretien_Novice,-1
préparation_Novice,-1
deux_Novice_ans_Novice,0
avant_Novice_majorité_Novice,-1
jeune_Novice,-1
gouvernement_Novice_partage_Novice,-1
objectif_Novice,0
meilleure_Novice,-1
anticipation_Novice,-1
réflexions_Novice,-1
démarches_Novice,-1
utiles_Novice,-1
accès_Novice_autonomie_Novice,-1
jeunes_Novice_majeurs_Novice,-1
sociale_Novice_enfance_Novice,-1
comment_Novice,0
demander_Novice,-1
ans_Novice,0
établir_Novice,-1
contrat_Novice,-1
pu_Novice,0
préparer_Novice,-1
toutefois_Novice,0
réalisation_Novice,-1
systématique_Novice,-1
deux_Novice,0
entretiens_Novice,-1
paraît_Novice,0
obligation_Novice,-1
trop_Novice_lourde_Novice,-1
conseils_Novice_départementaux_Novice,-1
également_Novice,0
mêmes_Novice,0
personnalité_Novice,-1
qualifiée_Novice,-1
nommée_Novice,-1
animer_Novice,-1
discussion_Novice,0
entre_Novice,0
toutes_Novice_parties_Novice,2
prenantes_Novice,2
concernées_Novice,-1
métiers_Novice_grand_Novice,-1
âge_Novice,-1
comme_Novice_a_Novice,-1
république_Novice,0
projet_Novice_loi_Novice,0
ambitieux_Novice,-1
convaincu_Novice,-1
ensuite_Novice,0
présenté_Novice,-1
afin_Novice_garantir_Novice,-1
financement_Novice,0
durable_Novice,-1
perte_Novice_autonomie_Novice,-1
car_Novice,0
bien_Novice,0
cela_Novice,0
agit_Novice,0
ainsi_Novice,0
repenser_Novice,-1
offre_Novice,0
bénéfice_Novice,-1
personnes_Novice,0
inceste_Novice,3
tabou_Novice,-1
absolu_Novice,-1
sans_Novice_doute_Novice,0
parce_Novice,0
nature_Novice,-1
humaine_Novice,-1
a_Novice,0
plus_Novice,0
sape_Novice,-1
fondements_Novice,-1
